Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$17.55,-0.15,-0.847%,35947998.00,United States,,20840,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.568,0.013,2.342%,77941760.00,Canada,2015,1050611,,
ACU,Acme United Corporation. Common Stock,$46.19,0.80,1.763%,154376680.00,United States,1988,12719,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$10.80,0.08,0.746%,16695547.00,United States,,77459,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.75,0.00,0.00%,140156250.00,United States,2021,11193,,
AE,Adams Resources & Energy Inc. Common Stock,$27.51,0.29,1.065%,116945423.00,United States,,7048,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.66,0.06,0.698%,439510397.00,United States,,17289,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.45,0.03,2.113%,55005878.00,,2018,74713,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.235,0.055,2.523%,88707177.00,United States,,133474,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$8.52,0.47,5.839%,25641911.00,United States,2014,10673,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$1.3514,0.0214,1.609%,43245009.00,United States,,102610,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.135,-0.045,-2.064%,49582535.00,China,,251579,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.96,0.03,1.554%,383433091.00,United States,,1259046,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.40,0.01,0.418%,13922400.00,United States,,7950,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$23.40,-0.40,-1.681%,162566095.00,United States,2020,45717,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$9.425,-0.095,-0.998%,128149435.00,Canada,,194523,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.3999,0.0599,1.38%,109735451.00,United States,,1567,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.25,0.01,0.806%,124744055.00,Canada,,528842,,
ASXC,Asensus Surgical Inc. Common Stock,$2.2338,0.0338,1.536%,520084107.00,United States,,4178009,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.065,0.215,2.739%,155216070.00,United States,,93150,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.7297,0.0357,5.144%,118554076.00,United States,,548383,,
AWX,Avalon Holdings Corporation Common Stock,$3.55,-0.02,-0.56%,13842980.00,United States,,125508,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.8321,-0.0079,-0.278%,401963278.00,Canada,,475590,,
BATL,Battalion Oil Corporation Common Stock,$11.92,0.32,2.759%,193904511.00,,,11833,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.5485,0.2285,0.73%,174077872.00,United States,,9675,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.8078,0.0658,0.256%,,United States,,2077,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.50,-0.4024,-1.616%,45536852.00,United States,,110,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.0995,-0.0105,-0.946%,13150575.00,United States,,65500,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$2.17,-0.01,-0.459%,38996812.00,Canada,,125302,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.79,-0.69,-2.341%,430269343.00,United States,,11669,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$4.9652,-0.0548,-1.092%,62124414.00,United States,,2615,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$10.30,-0.04,-0.387%,125663111.00,,2018,33083,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$23.85,-0.05,-0.209%,444034458.00,,,29143,Finance,Commercial Banks
